Error,Correction,Masked Context,Phoneme Seq,S-Capade Candidates,PySpell Candidates,Combined Candidates,S-Capade Ranked,PySpell Ranked,Combined Ranked
matrials,materials,make the tire in indonesia produce varieties of materials in china and make all the ***mask*** together into a complete car in taiwan this trend has forces people to be an,M EY T R IY AH L Z,"['materials', 'matrons', 'matronly', 'material']","['patrials', 'materials']","['material', 'matrons', 'matronly', 'patrials', 'materials']","['materials', 'material', 'matronly', 'matrons']","['materials', 'patrials']","['materials', 'material', 'matrons', 'matronly', 'patrials']"
assertment,assortment,can not comprehense the world correctly even there is a story available to sustain my ***mask*** long long ago some blind men were talking about the real feature of a elephant,AH S ER T M AH N T,"['assortment', 'assessment', 'abatement', 'assignment', 'allotment', 'adjournment', 'dustman', 'assistant', 'attachment', 'statement']",['assortment'],"['assortment', 'assignment', 'assessment', 'adjournment', 'attachment', 'dustman', 'assistant', 'statement', 'allotment', 'abatement']","['statement', 'attachment', 'dustman', 'allotment', 'assessment', 'assistant', 'abatement', 'assignment', 'adjournment', 'assortment']",['assortment'],"['statement', 'attachment', 'dustman', 'allotment', 'assessment', 'assistant', 'abatement', 'assignment', 'adjournment', 'assortment']"
manufactory,manufacture,academic subjects the society has shaped into a world of cooperations for example a car ***mask*** may design their engine in the us make the tire in indonesia produce varieties of,M AE N Y AH F AE K T R IY,[],['manufactory'],['manufactory'],[],['manufactory'],['manufactory']
propability,probability,global view of the world so we can march into the uncharted world without low ***mask*** to make such mistakes just like ones blind men made by specialized in one specific,P R AA P AH B IH L AH T IY,"['probability', 'possibility', 'probabilities']",['probability'],"['possibility', 'probabilities', 'probability']","['probability', 'possibility', 'probabilities']",['probability'],"['probability', 'possibility', 'probabilities']"
cooperations,cooperation,all the knowledge of many academic subjects the society has shaped into a world of ***mask*** for example a car manufactory may design their engine in the us make the tire,K W AA P ER EY SH AH N Z,"['cooperation', 'cooperation', 'corporations', 'cooperation', 'operations']",['cooperation'],"['cooperation', 'corporations', 'operations']","['operations', 'cooperation', 'corporations']",['cooperation'],"['operations', 'cooperation', 'corporations']"
specifical,specific,them are equally important to one person not only broad knowledge we need but aslo ***mask*** knowledge in one specific field we must own by broad knowledge of many academic subjects,S P IH S IH F IH K AH L,"['specifics', 'specifically', 'specific']","['specifically', 'specifics', 'specific']","['specifically', 'specifics', 'specific']","['specifics', 'specific', 'specifically']","['specifics', 'specific', 'specifically']","['specifics', 'specific', 'specifically']"
comprehense,comprehend,world in a total whole one without broad knowledge of different subjects we can not ***mask*** the world correctly even there is a story available to sustain my assertment long long,K AA M P R IY HH EH N S,"['comprehend', 'comprehends', 'comprehensive']","['comprehend', 'comprehends', 'comprehended', 'comprehensive', 'compresence']","['comprehend', 'comprehends', 'comprehended', 'comprehensive', 'compresence']","['comprehend', 'comprehends', 'comprehensive']","['comprehend', 'comprehends', 'comprehended', 'comprehensive', 'compresence']","['comprehend', 'comprehends', 'comprehended', 'comprehensive', 'compresence']"
th,the,of the elephant that makes them so ridiculous so in my opinion the most meaningful ***mask*** of owning broad knowledge of many academic is to offer us a global view of,TH,"['or', 'are', 'err', 'eure', 'i', 'eye', 'aye', 'earth', 'eau', 'aux', 'owe']",['th'],"['aux', 'owe', 'th', 'aye', 'or', 'earth', 'are', 'eau', 'i', 'eure', 'err', 'eye']","['or', 'eye', 'i', 'aux', 'are', 'eure', 'aye', 'err', 'earth', 'owe', 'eau']",['th'],"['or', 'eye', 'i', 'aux', 'are', 'eure', 'aye', 'err', 'th', 'earth', 'owe', 'eau']"
prepartion,preparation,in yang ming medical college annually visit yu li asylum to support therapists there the ***mask*** begun at least one year earlier these future doctors learn not only from textbooks but,P R IY P AA R SH AH N,"['proportion', 'preemption']",['preparation'],"['proportion', 'preparation', 'preemption']","['preemption', 'proportion']",['preparation'],"['preparation', 'preemption', 'proportion']"
knowleage,knowledge,only from textbooks but also from interacting with patients they are not satistfied with a ***mask*** of disease and therapies human beings are their ultimate concerns since some young people contribute,N AA L IY JH,"['knowledge', 'knowledge', 'college', 'volleys', 'jollies', 'hollies', 'collies', 'follies', 'colleague', 'colleen']",['knowledge'],"['collies', 'college', 'hollies', 'colleen', 'knowledge', 'colleague', 'jollies', 'volleys', 'follies']","['knowledge', 'college', 'volleys', 'colleague', 'jollies', 'follies', 'collies', 'hollies', 'colleen']",['knowledge'],"['knowledge', 'college', 'volleys', 'colleague', 'jollies', 'follies', 'collies', 'hollies', 'colleen']"
younth,youth,of discussing what they do when they are free recently there are many reports of ***mask*** consumption of luxury purse and cosmetics in taiwan young people are depicted as egocentric and,Y AH N TH,"['month', 'gunther', 'urine', 'yearns', 'yearned', 'nth', 'yawns', 'youth', 'tenth', 'yawned']",['youth'],"['yawned', 'yearns', 'urine', 'month', 'nth', 'youth', 'tenth', 'gunther', 'yawns', 'yearned']","['youth', 'yearns', 'yearned', 'month', 'urine', 'tenth', 'yawns', 'yawned', 'gunther', 'nth']",['youth'],"['youth', 'yearns', 'yearned', 'month', 'urine', 'tenth', 'yawns', 'yawned', 'gunther', 'nth']"
satistfied,satisfied,doctors learn not only from textbooks but also from interacting with patients they are not ***mask*** with a knowleage of disease and therapies human beings are their ultimate concerns since some,S AE T AH S T F AY D,"['satisfied', 'satisfied', 'dissatisfied', 'satisfy']",['satisfied'],"['satisfied', 'dissatisfied', 'satisfy']","['satisfied', 'dissatisfied', 'satisfy']",['satisfied'],"['satisfied', 'dissatisfied', 'satisfy']"
luxures,luxuries,is the first mistake although some young people are busy indulging in various kinds of ***mask*** others are dedicated to improvement of where they live it is not fair to deny,L AH G ZH ER Z,"['luxury', 'luxuries', 'lagoons', 'jugglers', 'loggers', 'lubbers', 'lovers', 'muggers', 'buggers', 'lingers']",['luxuries'],"['jugglers', 'luxuries', 'lagoons', 'lubbers', 'luxury', 'lingers', 'buggers', 'lovers', 'loggers', 'muggers']","['luxury', 'lovers', 'luxuries', 'lingers', 'buggers', 'jugglers', 'muggers', 'lubbers', 'loggers', 'lagoons']",['luxuries'],"['luxury', 'lovers', 'luxuries', 'lingers', 'buggers', 'jugglers', 'muggers', 'lubbers', 'loggers', 'lagoons']"
blieve,believe,usual not only the thing any thing can do follow that if you do not ***mask*** that you can do it follow i talk about i can tell you most things,B L IY V,"['cleave', 'bleak', 'bleep', 'bereave', 'bleed', 'sleeve', 'bleach', 'believer', 'cleaver', 'bleaker']","['slieve', 'believe']","['cleave', 'bleep', 'bleak', 'slieve', 'bereave', 'believe', 'bleed', 'believer', 'cleaver', 'bleaker', 'bleach', 'sleeve']","['bereave', 'bleed', 'believer', 'bleep', 'bleach', 'cleave', 'cleaver', 'sleeve', 'bleak', 'bleaker']","['believe', 'slieve']","['believe', 'bereave', 'bleed', 'believer', 'bleep', 'bleach', 'cleave', 'cleaver', 'sleeve', 'slieve', 'bleak', 'bleaker']"
inmany,many,than you follow any things nature is very important for anyone you can see that ***mask*** books news newspaper tv computer that all have the things and i think we can,IH N M AO N IY,"['anthony', 'internee', 'inchon', 'infamy', 'monty', 'nominee', 'inborn', 'bimini', 'bimini']",['inman'],"['bimini', 'inchon', 'internee', 'monty', 'anthony', 'inborn', 'inman', 'nominee', 'infamy']","['inborn', 'infamy', 'bimini', 'anthony', 'monty', 'inchon', 'internee', 'nominee']",['inman'],"['inborn', 'inman', 'infamy', 'bimini', 'anthony', 'monty', 'inchon', 'internee', 'nominee']"
buget,budget,to go there alone because i have more flexiblility on the other hand if the ***mask*** is limited i would like to share some costs with others then i will choose,B Y UW JH AH T,"['puget', 'bugle', 'butyl', 'buccal', 'buran', 'bridget', 'unit', 'hugest', 'beulah', 'beauty']","['beget', 'budget', 'puget']","['butyl', 'beulah', 'buran', 'budget', 'bugle', 'puget', 'hugest', 'beauty', 'beget', 'unit', 'bridget', 'buccal']","['unit', 'butyl', 'beulah', 'beauty', 'hugest', 'bugle', 'bridget', 'buran', 'buccal', 'puget']","['budget', 'puget', 'beget']","['budget', 'unit', 'butyl', 'beulah', 'beauty', 'hugest', 'bugle', 'bridget', 'buran', 'buccal', 'puget', 'beget']"
histirical,historical,how much money i plan to spend on it suppose i plan to visit a ***mask*** place which is relevent to my subject and even most of people do not know,HH IH S T IH R IH K AH L,"['hysterical', 'historical', 'historically', 'hysterically', 'satirical', 'historically']",['historical'],"['hysterically', 'hysterical', 'historically', 'historical', 'satirical']","['historical', 'historically', 'satirical', 'hysterical', 'hysterically']",['historical'],"['historical', 'historically', 'satirical', 'hysterical', 'hysterically']"
groupmember,group member,can save you some money for example you can share a hotel with the your ***mask*** however in other circumstance travelling alone may be more suitable for you firstly travelling alone,G R UW P M EH M B ER,[],['groupmember'],['groupmember'],[],['groupmember'],['groupmember']
interupted,interrupted,strick schedule made by the tour guide secondly if you do not want to be ***mask*** by others travelling alone may be better choice in addition if you tend to go,IH N T ER AH P T IH D,"['interrupted', 'interrupting', 'interrupts', 'intercepted', 'intercepted', 'uninterrupted', 'interrupt', 'uninterrupted']",['interrupted'],"['interrupted', 'uninterrupted', 'intercepted', 'interrupts', 'interrupt', 'interrupting']","['interrupted', 'intercepted', 'interrupting', 'interrupts', 'interrupt', 'uninterrupted']",['interrupted'],"['interrupted', 'intercepted', 'interrupting', 'interrupts', 'interrupt', 'uninterrupted']"
flexiblility,flexibility,if you have enough money i prefer to go there alone because i have more ***mask*** on the other hand if the buget is limited i would like to share some,F L EH K S AH B L AH T IY,"['flexibility', 'flexibly']",['flexibility'],"['flexibly', 'flexibility']","['flexibility', 'flexibly']",['flexibility'],"['flexibility', 'flexibly']"
relevent,relevant,plan to spend on it suppose i plan to visit a histirical place which is ***mask*** to my subject and even most of people do not know it i may have,R EH L AH V AH N T,"['relevant', 'relevance', 'elephant', 'element', 'elegant', 'irrelevant', 'irrelevance', 'regiment', 'resonant', 'redolent']",['relevant'],"['redolent', 'irrelevance', 'regiment', 'relevant', 'elephant', 'resonant', 'element', 'elegant', 'relevance', 'irrelevant']","['relevant', 'irrelevant', 'relevance', 'redolent', 'elegant', 'irrelevance', 'element', 'regiment', 'elephant', 'resonant']",['relevant'],"['relevant', 'irrelevant', 'relevance', 'redolent', 'elegant', 'irrelevance', 'element', 'regiment', 'elephant', 'resonant']"
dicide,decide,travelling is one of the most popular pastime for most people when you ***mask*** to have a travel should you join in a group led by a tour,D IH S AY D,"['decide', 'beside', 'deride', 'defied', 'desired', 'denied', 'divide', 'herbicide', 'desire', 'reside']","['decide', 'divide']","['denied', 'defied', 'desired', 'divide', 'desire', 'reside', 'deride', 'beside', 'decide', 'herbicide']","['decide', 'desire', 'desired', 'reside', 'divide', 'denied', 'deride', 'beside', 'defied', 'herbicide']","['decide', 'divide']","['decide', 'desire', 'desired', 'reside', 'divide', 'denied', 'deride', 'beside', 'defied', 'herbicide']"
interet,interest,concluded that whether to have broad knowledge or one specific subject knowledge depends on the ***mask*** of a person from my point of view i prefer to manage deeply on one,IH N T ER EH T,"['inset', 'intel', 'inlet', 'intuit', 'internet', 'interned', 'interim', 'enticed', 'intact', 'intent']","['internet', 'interest', 'interpet']","['enticed', 'interest', 'internet', 'interpet', 'intel', 'interim', 'intent', 'intact', 'intuit', 'inlet', 'interned', 'inset']","['intent', 'intuit', 'inlet', 'internet', 'intel', 'inset', 'interim', 'intact', 'interned', 'enticed']","['interest', 'internet', 'interpet']","['interest', 'intent', 'intuit', 'inlet', 'internet', 'intel', 'inset', 'interpet', 'interim', 'intact', 'interned', 'enticed']"
sociey,society,most of people who have broad knowledge often can not specialize on any subject our ***mask*** also needs the person who has specialized knowledge in many industries specialized person is more,S AH S IY,"['sissy', 'sassy', 'saucy', 'fussy', 'sully', 'sunny', 'sonny', 'hussy', 'saucier', 'summary']",['society'],"['saucy', 'sassy', 'sunny', 'summary', 'sully', 'hussy', 'saucier', 'society', 'sissy', 'fussy', 'sonny']","['sissy', 'summary', 'saucy', 'saucier', 'sassy', 'hussy', 'sonny', 'fussy', 'sunny', 'sully']",['society'],"['society', 'sissy', 'summary', 'saucy', 'saucier', 'sassy', 'hussy', 'sonny', 'fussy', 'sunny', 'sully']"
aristole,aristotle,and know a lot about the world the most famous person of such kind is ***mask*** the broad reading and studying enable him to manage most of the subjects and to,EH R AH S T OW L,"['crustal', 'peristyle', 'aerosol', 'carousel', 'aerosols']",['aristotle'],"['carousel', 'aerosols', 'aristotle', 'peristyle', 'crustal', 'aerosol']","['peristyle', 'aerosol', 'aerosols', 'crustal', 'carousel']",['aristotle'],"['aristotle', 'peristyle', 'aerosol', 'aerosols', 'crustal', 'carousel']"
bettere,better,a lot in one word if one wants to work in specific area it is ***mask*** to manage specialized knowledge from the analysis above it can be easily concluded that whether,B EH T ER,"['better', 'bettor', 'batter', 'butter', 'bitter', 'biter', 'betta', 'petter', 'beater', 'bearer']","['better', 'betters', 'bettered']","['bettor', 'bearer', 'betta', 'bettered', 'biter', 'petter', 'bitter', 'batter', 'beater', 'better', 'butter', 'betters']","['better', 'bitter', 'beater', 'petter', 'bearer', 'bettor', 'betta', 'biter', 'batter', 'butter']","['better', 'betters', 'bettered']","['bettered', 'better', 'betters', 'bitter', 'beater', 'petter', 'bearer', 'bettor', 'betta', 'biter', 'batter', 'butter']"
purpers,papers,of developing countries somebody maybe come into mind that cars will be fewer for those ***mask*** of people enviroment protection to use biycles it can reduce the number of cars but,P ER P ER Z,"['pipers', 'peppers', 'papers', 'poppers', 'paupers', 'prepares', 'popes', 'purpose', 'spurs', 'payers']","['uppers', 'purples', 'peppers', 'papers', 'putters', 'puckers', 'purports', 'purses', 'purges', 'porters', 'kuypers', 'poppers', 'dumpers', 'suppers', 'murders', 'pipers', 'purves', 'parsers', 'bumpers', 'purser', 'lumpers', 'jumpers', 'harpers', 'puffers', 'puppets', 'paupers', 'purpura', 'turners', 'purveys', 'purrs', 'burgers', 'pushers', 'porkers', 'pursuers', 'pullers', 'curlers', 'pampers', 'purport', 'usurpers', 'punters', 'parkers', 'perrers', 'surfers', 'purer', 'burners']","['uppers', 'purples', 'peppers', 'papers', 'putters', 'puckers', 'purports', 'purses', 'purges', 'porters', 'kuypers', 'poppers', 'dumpers', 'suppers', 'murders', 'pipers', 'purves', 'parsers', 'bumpers', 'purser', 'purpose', 'lumpers', 'jumpers', 'harpers', 'spurs', 'paupers', 'puffers', 'puppets', 'popes', 'purpura', 'turners', 'purveys', 'purrs', 'burgers', 'pushers', 'porkers', 'pursuers', 'pullers', 'curlers', 'pampers', 'purport', 'usurpers', 'punters', 'parkers', 'perrers', 'prepares', 'payers', 'surfers', 'purer', 'burners']","['purpose', 'payers', 'papers', 'prepares', 'paupers', 'spurs', 'poppers', 'peppers', 'pipers', 'popes']","['purer', 'perrers', 'putters', 'usurpers', 'murders', 'pullers', 'purses', 'purser', 'papers', 'dumpers', 'puffers', 'kuypers', 'surfers', 'pushers', 'parsers', 'lumpers', 'paupers', 'uppers', 'curlers', 'puppets', 'puckers', 'pampers', 'poppers', 'suppers', 'punters', 'burgers', 'harpers', 'purples', 'purges', 'parkers', 'jumpers', 'pursuers', 'bumpers', 'porters', 'turners', 'peppers', 'burners', 'purports', 'purves', 'purpura', 'purveys', 'purrs', 'purport', 'pipers', 'porkers']","['purpose', 'payers', 'purer', 'perrers', 'putters', 'usurpers', 'murders', 'pullers', 'purses', 'purser', 'papers', 'prepares', 'dumpers', 'puffers', 'kuypers', 'surfers', 'pushers', 'parsers', 'lumpers', 'paupers', 'uppers', 'curlers', 'puppets', 'puckers', 'pampers', 'spurs', 'poppers', 'suppers', 'punters', 'burgers', 'harpers', 'purples', 'purges', 'parkers', 'jumpers', 'pursuers', 'bumpers', 'porters', 'turners', 'peppers', 'burners', 'purports', 'purves', 'purpura', 'purveys', 'purrs', 'purport', 'pipers', 'popes', 'porkers']"
biycles,bicycles,mind that cars will be fewer for those purpers of people enviroment protection to use ***mask*** it can reduce the number of cars but it is not just a instant phnomenon,B AY K AH L Z,"['buckles', 'bibles', 'cycles', 'bagels', 'boggles', 'beagles', 'pickles', 'vocals', 'baffles', 'becomes']",['bicycles'],"['pickles', 'bicycles', 'bibles', 'buckles', 'bagels', 'beagles', 'boggles', 'vocals', 'baffles', 'becomes', 'cycles']","['becomes', 'cycles', 'bagels', 'baffles', 'vocals', 'bibles', 'pickles', 'buckles', 'beagles', 'boggles']",['bicycles'],"['becomes', 'cycles', 'bagels', 'baffles', 'vocals', 'bibles', 'bicycles', 'pickles', 'buckles', 'beagles', 'boggles']"
inportant,important,and he get a high salavery he said that purchese a car become the most ***mask*** thing in his family and he realized his wish got a car two months ago,IH N P AO R T AH N T,"['important', 'informant', 'importance', 'inordinate']",['important'],"['inordinate', 'informant', 'important', 'importance']","['important', 'importance', 'inordinate', 'informant']",['important'],"['important', 'importance', 'inordinate', 'informant']"
majic,magic,time according to the presents above we can a conclusion that if there is no ***mask*** thing happend in this world it will not chan,M AE JH IH K,"['magic', 'manic', 'maverick', 'maverick', 'tragic', 'medic', 'merrick', 'matching', 'matches', 'mimic']","['magic', 'matic', 'majid', 'manic']","['matching', 'merrick', 'magic', 'mimic', 'maverick', 'medic', 'matches', 'majid', 'matic', 'tragic', 'manic']","['magic', 'tragic', 'manic', 'merrick', 'matches', 'medic', 'mimic', 'matching', 'maverick']","['magic', 'manic', 'matic', 'majid']","['magic', 'tragic', 'manic', 'merrick', 'matic', 'majid', 'matches', 'medic', 'mimic', 'matching', 'maverick']"
technoledgy,technology,to solve nowdays resources shorting air plution sound plution but we have not got any ***mask*** progress to invent a new transport planes are so expensive for a general family to,T EH K N AA L IH JH IY,"['technology', 'technologies']",['technology'],"['technology', 'technologies']","['technology', 'technologies']",['technology'],"['technology', 'technologies']"
unrealism,unrealistic,a new transport planes are so expensive for a general family to afford it it ***mask*** for every one on the world to have a plane so when old cars are,AH N R IY L IH Z AH M,[],['unrealism'],['unrealism'],[],['unrealism'],['unrealism']
plution,pollution,answer is no we have a lot of problems to solve nowdays resources shorting air ***mask*** sound plution but we have not got any technoledgy progress to invent a new transport,P L UW SH AH N,"['aleutian', 'pollution', 'lucian', 'prussian', 'illusion', 'solution', 'allusion', 'dilution', 'proven', 'elation']",['elution'],"['prussian', 'solution', 'illusion', 'aleutian', 'lucian', 'elation', 'allusion', 'dilution', 'pollution', 'elution', 'proven']","['pollution', 'allusion', 'solution', 'illusion', 'dilution', 'prussian', 'elation', 'aleutian', 'proven', 'lucian']",['elution'],"['pollution', 'allusion', 'solution', 'illusion', 'dilution', 'prussian', 'elation', 'elution', 'aleutian', 'proven', 'lucian']"
phnomenon,phenomenon,biycles it can reduce the number of cars but it is not just a instant ***mask*** people will continue to use cars for a long time according to the presents above,F N AA M AH N AA N,"['phenomenon', 'phenomena']",['phenomenon'],"['phenomena', 'phenomenon']","['phenomenon', 'phenomena']",['phenomenon'],"['phenomenon', 'phenomena']"
veichels,veichels,him become more than we can expect now it populor next is there a new ***mask*** can replace the car the answer is no we have a lot of problems to,V AY K AH L Z,"['vocals', 'cycles', 'buckles', 'vials', 'vehicles', 'bibles', 'vikings', 'finals', 'nichols', 'nickels', 'nickles']",['michels'],"['vikings', 'buckles', 'bibles', 'nickles', 'nickels', 'vocals', 'vehicles', 'michels', 'nichols', 'vials', 'finals', 'cycles']","['vehicles', 'nickles', 'buckles', 'nickels', 'cycles', 'bibles', 'vials', 'vikings', 'vocals', 'nichols', 'finals']",['michels'],"['vehicles', 'nickles', 'buckles', 'nickels', 'cycles', 'bibles', 'vials', 'vikings', 'michels', 'vocals', 'nichols', 'finals']"
populor,popular,car two months ago persons like him become more than we can expect now it ***mask*** next is there a new veichels can replace the car the answer is no we,P AA P Y AH L ER,"['popular', 'populace', 'populous', 'populists', 'jocular', 'popple', 'populate', 'poplar', 'unpopular', 'popularly']",['popular'],"['unpopular', 'popple', 'populous', 'populace', 'populists', 'jocular', 'populate', 'popularly', 'poplar', 'popular']","['jocular', 'popple', 'populists', 'populate', 'poplar', 'popular', 'populace', 'populous', 'popularly', 'unpopular']",['popular'],"['jocular', 'popple', 'populists', 'populate', 'poplar', 'popular', 'populace', 'populous', 'popularly', 'unpopular']"
purchese,purchase,a good job form a company and he get a high salavery he said that ***mask*** a car become the most inportant thing in his family and he realized his wish,P ER CH AH S,"['purchase', 'purpose', 'perches', 'burgess', 'patches', 'prus', 'peaches', 'pouches', 'plus', 'pious', 'pius']",['purchase'],"['patches', 'pouches', 'purchase', 'plus', 'purpose', 'pious', 'burgess', 'pius', 'peaches', 'prus', 'perches']","['purchase', 'plus', 'purpose', 'peaches', 'prus', 'patches', 'pious', 'burgess', 'pius', 'perches', 'pouches']",['purchase'],"['purchase', 'plus', 'purpose', 'peaches', 'prus', 'patches', 'pious', 'burgess', 'pius', 'perches', 'pouches']"
conviente,convient,even have not cars any more they need more cars for transport tool to get ***mask*** transfer so i think there will be more and more cars applicate into use in,K AA N V IY EH N T EY,"['convents', 'convent']","['convene', 'convent', 'convents', 'convince']","['convince', 'convene', 'convents', 'convent']","['convent', 'convents']","['convene', 'convince', 'convent', 'convents']","['convene', 'convince', 'convent', 'convents']"
salavery,slavery,friend jack he get a good job form a company and he get a high ***mask*** he said that purchese a car become the most inportant thing in his family and,S AE L AH V R IY,"['salivate', 'salvia', 'salazar']",['slavery'],"['salivate', 'salazar', 'salvia', 'slavery']","['salvia', 'salivate', 'salazar']",['slavery'],"['salvia', 'salivate', 'slavery', 'salazar']"
abandented,abandoned,for every one on the world to have a plane so when old cars are ***mask*** people have no chioce to buy a new car the quantity of the cars in,AH B AE N D AH N T IH D,"['abandoning', 'abandoned']",['abandoned'],"['abandoning', 'abandoned']","['abandoned', 'abandoning']",['abandoned'],"['abandoned', 'abandoning']"
chioce,choice,the world to have a plane so when old cars are abandented people have no ***mask*** to buy a new car the quantity of the cars in the world will not,CH AY OW S IY,"['chelsea', 'chancy', 'chauncey', 'coyote', 'chassis', 'dicey', 'bios', 'spicy', 'wolsey', 'pricey']",['choice'],"['spicy', 'chassis', 'chelsea', 'chauncey', 'bios', 'wolsey', 'pricey', 'coyote', 'choice', 'chancy', 'dicey']","['pricey', 'dicey', 'chassis', 'wolsey', 'chelsea', 'coyote', 'chauncey', 'chancy', 'spicy', 'bios']",['choice'],"['choice', 'pricey', 'dicey', 'chassis', 'wolsey', 'chelsea', 'coyote', 'chauncey', 'chancy', 'spicy', 'bios']"
econormy,economy,of the cars in the world will not decrease but increase under the growing of ***mask*** of developing countries somebody maybe come into mind that cars will be fewer for those,EH K AH N AO R M IY,[],['economy'],['economy'],[],['economy'],['economy']
carzy,crazy,climbing go disco with friends go shopping for 5 hours long they ca bear these ***mask*** activities therefore they will miss some chances to know more about vivd life and the,K AA R Z IY,"['causey', 'carly', 'carney', 'cosy', 'parsi', 'copy', 'cali', 'collie', 'colly', 'cartier']","['carey', 'cary', 'carty', 'carly', 'crazy', 'cardy', 'carry']","['copy', 'carey', 'cary', 'carney', 'cosy', 'carty', 'cartier', 'colly', 'parsi', 'cali', 'carly', 'collie', 'cardy', 'carry', 'crazy', 'causey']","['carney', 'parsi', 'cosy', 'causey', 'cali', 'cartier', 'colly', 'collie', 'copy', 'carly']","['crazy', 'cardy', 'carry', 'carey', 'carty', 'carly', 'cary']","['crazy', 'carney', 'parsi', 'cardy', 'carry', 'cosy', 'causey', 'cali', 'carey', 'carty', 'cartier', 'colly', 'collie', 'copy', 'carly', 'cary']"
prabebily,probably,this activity we know more cultures from other country and people that is older people ***mask*** ca do i believe many parents includ my parent told to their children participate in,P R AH B IY B AH L IY,[],['prabebily'],['prabebily'],[],['prabebily'],['prabebily']
vivd,vivid,ca bear these carzy activities therefore they will miss some chances to know more about ***mask*** life and the other reason is that young people like me we usually go for,V IH V D,"['lived', 'veered', 'shivered', 'vivid', 'vivid', 'caved', 'paved', 'giver', 'curved', 'waived', 'waved']","['vid', 'vied', 'vivo', 'viv', 'vivid', 'vvd', 'viva', 'vive']","['vid', 'waved', 'viva', 'vied', 'vivo', 'viv', 'curved', 'waived', 'vive', 'vivid', 'vvd', 'shivered', 'lived', 'veered', 'giver', 'caved', 'paved']","['caved', 'lived', 'giver', 'vivid', 'paved', 'veered', 'curved', 'waived', 'waved', 'shivered']","['vivid', 'vvd', 'vivo', 'vied', 'vid', 'viv', 'vive', 'viva']","['caved', 'lived', 'giver', 'vivid', 'vvd', 'paved', 'veered', 'vivo', 'curved', 'vied', 'vid', 'viv', 'vive', 'waived', 'waved', 'viva', 'shivered']"
healther,healthier,we all know that young people are more energetic and more ***mask*** than older people i can feel that in my life experience my mother stay,HH EH L TH ER,"['healthy', 'helper', 'held', 'helm', 'help', 'wealth', 'hello', 'health', 'healthier', 'heller']","['healthier', 'heather']","['help', 'hello', 'helm', 'wealth', 'healthy', 'held', 'health', 'heller', 'heather', 'healthier', 'helper']","['healthy', 'held', 'health', 'healthier', 'help', 'helper', 'wealth', 'hello', 'heller', 'helm']","['healthier', 'heather']","['healthy', 'held', 'health', 'healthier', 'help', 'helper', 'wealth', 'hello', 'heather', 'heller', 'helm']"
includ,include,other country and people that is older people prabebily ca do i believe many parents ***mask*** my parent told to their children participate in more activities and enjoy life when we,IH N K L AH D,"['include', 'enclose', 'incurred', 'invalid', 'incline', 'incline', 'encourage', 'enclosed', 'inlaid', 'inclined']",['include'],"['enclose', 'encourage', 'inlaid', 'enclosed', 'inclined', 'incurred', 'invalid', 'incline', 'include']","['inlaid', 'include', 'encourage', 'enclose', 'inclined', 'incline', 'invalid', 'enclosed', 'incurred']",['include'],"['inlaid', 'include', 'encourage', 'enclose', 'inclined', 'incline', 'invalid', 'enclosed', 'incurred']"
underatnad,understand,the fact become that the earth is like a ball so it is important to ***mask*** the ideas and concepts then we wo be cheated by what we see by our,AH N D ER AE T N AE D,['understand'],['understand'],['understand'],['understand'],['understand'],['understand']
stuent,student,it the way for us to get the truth and concepts for example after a ***mask*** learned and understand the ideas and concepts then they can use it to discover or,S T UW AH N T,"['student', 'stunt', 'stent', 'stint', 'stooped', 'truant', 'stewart', 'stuart', 'servant', 'serpent']","['student', 'stunt', 'stent']","['stuart', 'stint', 'serpent', 'stewart', 'stooped', 'stunt', 'servant', 'stent', 'student', 'truant']","['student', 'servant', 'serpent', 'truant', 'stooped', 'stint', 'stewart', 'stunt', 'stuart', 'stent']","['student', 'stunt', 'stent']","['student', 'servant', 'serpent', 'truant', 'stooped', 'stint', 'stewart', 'stunt', 'stuart', 'stent']"
envent,event,they can use it to discover or create new stuff i think that why we ***mask*** lost of new things like car and plain to make our life easier so i,EH N V EH N T,"['invent', 'inventor', 'enchant', 'advent', 'indent', 'invest', 'intent', 'enmeshed', 'event', 'invents']","['invent', 'event']","['invent', 'event', 'indent', 'inventor', 'intent', 'invents', 'invest', 'advent', 'enchant', 'enmeshed']","['invent', 'invents', 'enchant', 'enmeshed', 'invest', 'event', 'advent', 'inventor', 'indent', 'intent']","['invent', 'event']","['invent', 'invents', 'enchant', 'enmeshed', 'invest', 'event', 'advent', 'inventor', 'indent', 'intent']"
conceptes,concepts,to think and become creative they can use their imagination to creat new ideas and ***mask*** and their imagination is not limited by the facts it a good way to encourage,K AA N S EH P T S,"['concepts', 'concept', 'concepts', 'consents', 'contests', 'contents', 'convents', 'concerts', 'intercepts', 'constance']","['conceptus', 'concepts']","['contents', 'conceptus', 'convents', 'consents', 'concerts', 'concept', 'contests', 'intercepts', 'constance', 'concepts']","['concepts', 'concept', 'contents', 'contests', 'concerts', 'consents', 'constance', 'convents', 'intercepts']","['concepts', 'conceptus']","['concepts', 'conceptus', 'concept', 'contents', 'contests', 'concerts', 'consents', 'constance', 'convents', 'intercepts']"
